2373 1
1800 6
1734 1
2103 1
1151 7
1927 3
1226 7
2076 5
2300 3
1628 7
1041 1
1952 3
2923 9
1732 3
2780 10
2089 3
2134 7
2196 7
1076 4
2550 8
2705 10
1127 8
2279 1
1641 10
2769 3
1867 9
2393 9
1148 9
1428 10
2068 2
1506 9
2035 8
2164 10
2496 7
2657 4
1553 3
1763 6
2976 10
2149 3
1849 8
3000 9
2346 2
1225 8
2239 5
1752 7
1935 9
2969 7
2315 9
2481 1
1189 7
2941 4
1752 10
1209 9
2569 10
2120 7
2983 5
2366 3
2480 6
1039 1
2135 1
2078 1
1956 9
1949 2
2459 4
1152 6
1662 1
1603 10
1809 6
1388 8
1672 6
1227 5
1305 9
2762 5
1943 3
1895 9
2254 2
2224 6
1068 10
1219 5
2774 2
1573 1
1072 6
2397 1
2109 8
2162 6
1454 6
1410 7
2746 2
1295 9
2617 7
2884 2
2094 5
1493 1
2691 9
1536 6
2371 9
1552 5
1926 10
2488 9
2853 1
